,p_hat,CI_upper,CI_lower,sample_size
0,0.93888,0.9409797123639912,0.9367802876360088,50.0
1,0.94598,0.9479614419622342,0.9439985580377659,150.0
2,0.94662,0.948590335633101,0.944649664366899,250.0
3,0.94916,0.9510854647559386,0.9472345352440614,350.0
4,0.9498,0.9517139519477371,0.9478860480522628,450.0
5,0.94916,0.9510854647559386,0.9472345352440614,550.0
6,0.94916,0.9510854647559386,0.9472345352440614,650.0
7,0.9475,0.9494549351253272,0.9455450648746728,750.0
8,0.94984,0.9517532295508475,0.9479267704491525,850.0
9,0.94964,0.9515568381715096,0.9477231618284905,950.0
10,0.9501,0.9520085257361351,0.9481914742638647,1150.0
11,0.94926,0.9511836714998912,0.9473363285001087,1250.0
12,0.94926,0.9511836714998912,0.9473363285001087,1350.0
13,0.94948,0.9513997190314241,0.9475602809685759,1450.0
14,0.95034,0.9522441710191639,0.948435828980836,1550.0
15,0.95036,0.9522638075715366,0.9484561924284634,1650.0
16,0.94924,0.9511640303167554,0.9473159696832445,1750.0
17,0.94986,0.9517728682259988,0.9479471317740013,1850.0
18,0.94932,0.9512425945515927,0.9473974054484074,1950.0
19,0.94938,0.9513015168557583,0.9474584831442417,2050.0
