,p_hat,CI_upper,CI_lower,num_exp
0,0.95,0.9927164247079471,0.9072835752920528,100.0
1,0.964,0.9870923352576884,0.9409076647423116,250.0
2,0.948,0.9674611692364532,0.9285388307635467,500.0
3,0.948,0.96388997814242,0.93211002185758,750.0
4,0.947,0.9608854837751322,0.9331145162248677,1000.0
5,0.9513333333333334,0.9622222486187054,0.9404444180479613,1500.0
6,0.9485,0.9581862433406497,0.9388137566593503,2000.0
7,0.9556,0.9636743513269626,0.9475256486730375,2500.0
8,0.944,0.9522274921066948,0.9357725078933051,3000.0
9,0.95,0.9572203936177424,0.9427796063822576,3500.0
10,0.9495,0.956285959587405,0.942714040412595,4000.0
11,0.9528888888888889,0.959079373369425,0.9466984044083528,4500.0
12,0.9532,0.9590543412275174,0.9473456587724827,5000.0
13,0.9507272727272728,0.9564472989943306,0.945007246460215,5500.0
14,0.947,0.9526687250134613,0.9413312749865386,6000.0
15,0.95,0.9552983204012501,0.9447016795987498,6500.0
16,0.949,0.9541536778193936,0.9438463221806063,7000.0
17,0.9509333333333333,0.9558219476187401,0.9460447190479265,7500.0
18,0.957125,0.9615640444528823,0.9526859555471177,8000.0
19,0.9505882352941176,0.9551955728086016,0.9459808977796337,8500.0
20,0.954,0.9583279271262007,0.9496720728737992,9000.0
21,0.9515789473684211,0.9558953884191573,0.9472625063176848,9500.0
22,0.9513,0.9555186288660814,0.9470813711339187,10000.0
