,p_hat,CI_upper,CI_lower,sample_size
0,0.92762,0.929891210723742,0.925348789276258,50.0
1,0.94286,0.9448944958703849,0.9408255041296152,150.0
2,0.94448,0.9464871702001441,0.9424728297998559,250.0
3,0.9463,0.9482758985919557,0.9443241014080443,350.0
4,0.94608,0.9480597117533094,0.9441002882466907,450.0
5,0.94888,0.9508104748936377,0.9469495251063622,550.0
6,0.94816,0.9501032845604649,0.9462167154395351,650.0
7,0.9485,0.95043724866813,0.9465627513318701,750.0
8,0.94946,0.95138007876297,0.9475399212370299,850.0
9,0.94916,0.9510854647559386,0.9472345352440614,950.0
10,0.94888,0.9508104748936377,0.9469495251063622,1150.0
11,0.94702,0.948983354134379,0.945056645865621,1250.0
12,0.94936,0.9512818761708401,0.9474381238291598,1350.0
13,0.9479,0.9498478845464795,0.9459521154535204,1450.0
14,0.95028,0.9521852608492791,0.9483747391507209,1550.0
15,0.94782,0.9497692972068942,0.9458707027931058,1650.0
16,0.94834,0.9502800919974947,0.9463999080025052,1750.0
17,0.94922,0.9511443890507459,0.947295610949254,1850.0
18,0.94924,0.9511640303167554,0.9473159696832445,1950.0
19,0.94938,0.9513015168557583,0.9474584831442417,2050.0
