,p_hat,CI_upper,CI_lower,sample_size
0,0.94224,0.9442848311370674,0.9401951688629325,50.0
1,0.94918,0.9511051062702912,0.9472548937297088,150.0
2,0.94908,0.951006897872103,0.947153102127897,250.0
3,0.94842,0.9503586709808949,0.9464813290191052,350.0
4,0.95064,0.9525387103003919,0.9487412896996081,450.0
5,0.94882,0.9507515463981137,0.9468884536018863,550.0
6,0.94892,0.9508497601471639,0.946990239852836,650.0
7,0.9511,0.9529902994555641,0.9492097005444358,750.0
8,0.94848,0.9504176043679927,0.9465423956320073,850.0
9,0.94934,0.9512622354027693,0.9474177645972306,950.0
10,0.9478,0.9497496501726579,0.9458503498273421,1150.0
11,0.9491,0.9510265397169334,0.9471734602830667,1250.0
12,0.9505,0.9524012610401992,0.9485987389598008,1350.0
13,0.95048,0.952381625087657,0.948578374912343,1450.0
14,0.94918,0.9511051062702912,0.9472548937297088,1550.0
15,0.95064,0.9525387103003919,0.9487412896996081,1650.0
16,0.94798,0.9499264706082057,0.9460335293917944,1750.0
17,0.94852,0.9504568928870784,0.9465831071129217,1850.0
18,0.95016,0.952067438206451,0.948252561793549,1950.0
19,0.9499,0.9518121453232546,0.9479878546767453,2050.0
