,p_hat,CI_upper,CI_lower,num_exp
0,0.95,0.9927164247079471,0.9072835752920528,100.0
1,0.96,0.9842909051881279,0.935709094811872,250.0
2,0.954,0.9723618397165067,0.9356381602834932,500.0
3,0.952,0.9672987712914224,0.9367012287085775,750.0
4,0.952,0.9652491245850598,0.9387508754149401,1000.0
5,0.952,0.9628178649239868,0.9411821350760131,1500.0
6,0.9545,0.9636332797016746,0.9453667202983255,2000.0
7,0.9544,0.9625775973588886,0.9462224026411115,2500.0
8,0.9486666666666667,0.9565633371740742,0.9407699961592592,3000.0
9,0.9451428571428572,0.9526864699521606,0.9375992443335538,3500.0
10,0.94675,0.9537081783827506,0.9397918216172494,4000.0
11,0.9442222222222222,0.950927388414902,0.9375170560295424,4500.0
12,0.9494,0.9554752333094454,0.9433247666905547,5000.0
13,0.9547272727272728,0.9602217292282393,0.9492328162263062,5500.0
14,0.9478333333333333,0.9534597902582596,0.9422068764084071,6000.0
15,0.9493846153846154,0.9547137142609926,0.9440555165082382,6500.0
16,0.9485714285714286,0.9537455464776842,0.9433973106651731,7000.0
17,0.9532,0.9579800495958523,0.9484199504041478,7500.0
18,0.944875,0.9498760889373788,0.9398739110626212,8000.0
19,0.9512941176470588,0.9558701252937396,0.9467181100003781,8500.0
20,0.9526666666666667,0.957053800326875,0.9482795330064583,9000.0
21,0.9494736842105264,0.953878082350373,0.9450692860706797,9500.0
22,0.9505,0.9547513489288573,0.9462486510711428,10000.0
