,p_hat,CI_upper,CI_lower,num_exp
0,0.95,0.9927164247079471,0.9072835752920528,100.0
1,0.948,0.9755222494738303,0.9204777505261696,250.0
2,0.96,0.9771762637796847,0.9428237362203152,500.0
3,0.9506666666666667,0.9661656004525985,0.9351677328807348,750.0
4,0.953,0.9661172703729743,0.9398827296270256,1000.0
5,0.95,0.9610293334335601,0.9389706665664398,1500.0
6,0.955,0.964085336890268,0.9459146631097319,2000.0
7,0.9532,0.961479288762715,0.944920711237285,2500.0
8,0.9486666666666667,0.9565633371740742,0.9407699961592592,3000.0
9,0.946,0.9534878393297082,0.9385121606702918,3500.0
10,0.94625,0.9532389233253082,0.9392610766746918,4000.0
11,0.9442222222222222,0.950927388414902,0.9375170560295424,4500.0
12,0.9504,0.9564180686964193,0.9443819313035807,5000.0
13,0.9541818181818181,0.9597076955201077,0.9486559408435286,5500.0
14,0.9486666666666667,0.9542504559312504,0.943082877402083,6000.0
15,0.9489230769230769,0.9542751160583787,0.9435710377877751,6500.0
16,0.9488571428571428,0.9540176452047051,0.9436966405095806,7000.0
17,0.9532,0.9579800495958523,0.9484199504041478,7500.0
18,0.94525,0.9502350383339399,0.9402649616660602,8000.0
19,0.9515294117647058,0.9560949173850869,0.9469639061443248,8500.0
20,0.953,0.957372423457658,0.9486275765423419,9000.0
21,0.9496842105263158,0.954079910505715,0.9452885105469166,9500.0
22,0.9497,0.9539837616896049,0.9454162383103951,10000.0
23,0.9499090909090909,0.9539854480552294,0.9458327337629524,11000.0
24,0.949,0.9529361864524644,0.9450638135475355,12000.0
25,0.9506923076923077,0.9544141137930343,0.9469705015915811,13000.0
26,0.9478571428571428,0.9515397291218377,0.944174556592448,14000.0
27,0.9480666666666666,0.9516176202832938,0.9445157130500395,15000.0
28,0.94925,0.9526509200764862,0.9458490799235139,16000.0
29,0.9501764705882353,0.9534471879075146,0.946905753268956,17000.0
30,0.9495,0.952698932027408,0.9463010679725921,18000.0
31,0.9493157894736842,0.9524347723167571,0.9461968066306113,19000.0
32,0.94885,0.9519031960593213,0.9457968039406787,20000.0
