,p_hat,CI_upper,CI_lower,num_exp
0,0.96,0.9984072934108424,0.9215927065891575,100.0
1,0.968,0.9898167851371206,0.9461832148628794,250.0
2,0.95,0.9691033658805442,0.9308966341194557,500.0
3,0.9493333333333334,0.9650292972289917,0.9336373694376751,750.0
4,0.943,0.9573694903553024,0.9286305096446975,1000.0
5,0.9486666666666667,0.9598342451958339,0.9374990881374994,1500.0
6,0.9455,0.9554486032352704,0.9355513967647296,2000.0
7,0.9464,0.9552287221103782,0.9375712778896218,2500.0
8,0.9493333333333334,0.9571813152811625,0.9414853513855043,3000.0
9,0.9511428571428572,0.9582845468544904,0.944001167431224,3500.0
10,0.94925,0.9560518401529725,0.9424481598470276,4000.0
11,0.9513333333333334,0.9576200515045259,0.9450466151621408,4500.0
12,0.9486,0.9547204902228131,0.9424795097771869,5000.0
13,0.95,0.9557598815326038,0.9442401184673961,5500.0
14,0.9508333333333333,0.9563042493472459,0.9453624173194207,6000.0
15,0.9498461538461539,0.955152189558277,0.9445401181340308,6500.0
16,0.9524285714285714,0.9574149859118487,0.9474421569452941,7000.0
17,0.9493333333333334,0.9542968329315383,0.9443698337351284,7500.0
18,0.949125,0.953940229767199,0.9443097702328009,8000.0
19,0.9522352941176471,0.9567691145908377,0.9477014736444564,8500.0
20,0.9488888888888889,0.9534386875445305,0.9443390902332472,9000.0
21,0.9484210526315789,0.9528686259747222,0.9439734792884357,9500.0
22,0.9484,0.9527357947431837,0.9440642052568163,10000.0
