,p_hat,CI_upper,CI_lower,num_exp
0,0.93,0.9800078962992034,0.8799921037007967,100.0
1,0.936,0.9663393308558288,0.9056606691441713,250.0
2,0.926,0.9489448087474812,0.9030551912525189,500.0
3,0.9346666666666666,0.9523519998011005,0.9169813335322328,750.0
4,0.948,0.9617611247369151,0.9342388752630848,1000.0
5,0.9433333333333334,0.9550336841942831,0.9316329824723836,1500.0
6,0.925,0.9365434224926071,0.913456577507393,2000.0
7,0.93,0.9400015792598407,0.9199984207401594,2500.0
8,0.9303333333333333,0.9394433520710229,0.9212233145956438,3000.0
9,0.9365714285714286,0.9446461395488054,0.9284967175940518,3500.0
10,0.934,0.9416942005358399,0.9263057994641603,4000.0
11,0.9315555555555556,0.9389331591351707,0.9241779519759404,4500.0
12,0.931,0.9380252611792385,0.9239747388207616,5000.0
13,0.9374545454545454,0.9438539524602005,0.9310551384488903,5500.0
14,0.9326666666666666,0.9390075644293991,0.9263257689039341,6000.0
15,0.9327692307692308,0.9388570613609322,0.9266814001775294,6500.0
16,0.9311428571428572,0.9370745919718532,0.9252111223138612,7000.0
17,0.9309333333333333,0.9366719999838481,0.9251946666828185,7500.0
18,0.9255,0.9312539945399061,0.9197460054600939,8000.0
19,0.9258823529411765,0.9314513545500298,0.9203133513323232,8500.0
20,0.9316666666666666,0.9368794949407091,0.9264538383926242,9000.0
21,0.9298947368421052,0.935029004378415,0.9247604693057955,9500.0
22,0.9319,0.9368374908389568,0.9269625091610431,10000.0
23,0.9294545454545454,0.9342397482119505,0.9246693426971403,11000.0
24,0.93575,0.9401370638161778,0.9313629361838222,12000.0
25,0.930076923076923,0.9344606764671376,0.9256931696867085,13000.0
26,0.9290714285714285,0.9333236828996573,0.9248191742431998,14000.0
27,0.9268,0.9309682236613327,0.9226317763386672,15000.0
28,0.9324375,0.936326615319604,0.928548384680396,16000.0
29,0.9294705882352942,0.9333193992523072,0.9256217772182811,17000.0
30,0.9321666666666667,0.9358401680046498,0.9284931653286836,18000.0
31,0.9322631578947368,0.9358363225083584,0.9286899932811152,19000.0
32,0.93065,0.9341708661628217,0.9271291338371782,20000.0
