,p_hat,CI_upper,CI_lower,num_exp
0,0.96,0.9984072934108424,0.9215927065891575,100.0
1,0.944,0.9725008686953345,0.9154991313046654,250.0
2,0.952,0.9707370916777625,0.9332629083222375,500.0
3,0.9466666666666667,0.9627477523501342,0.9305855809831991,750.0
4,0.945,0.9591301034039237,0.9308698965960762,1000.0
5,0.9593333333333334,0.9693288792128066,0.9493377874538601,1500.0
6,0.9475,0.957274675626636,0.937725324373364,2000.0
7,0.9404,0.9496802040785502,0.9311197959214498,2500.0
8,0.9546666666666667,0.9621109375846169,0.9472223957487165,3000.0
9,0.9508571428571428,0.9580186084014181,0.9436956773128676,3500.0
10,0.95075,0.957455858417429,0.944044141582571,4000.0
11,0.948,0.954487056412151,0.9415129435878489,4500.0
12,0.9476,0.9537764831131132,0.9414235168868867,5000.0
13,0.9487272727272728,0.9545560927844148,0.9428984526701307,5500.0
14,0.9485,0.9540923552001603,0.9429076447998397,6000.0
15,0.952,0.9571967342151725,0.9468032657848274,6500.0
16,0.9474285714285714,0.9526567113133984,0.9422004315437444,7000.0
17,0.9481333333333334,0.9531520922695896,0.9431145743970771,7500.0
18,0.946875,0.9517897212874928,0.9419602787125072,8000.0
19,0.9527058823529412,0.9572184280740486,0.9481933366318338,8500.0
20,0.9444444444444444,0.9491768155267126,0.9397120733621762,9000.0
21,0.9458947368421052,0.9504438574349319,0.9413456162492786,9500.0
22,0.9497,0.9539837616896049,0.9454162383103951,10000.0
23,0.9495454545454546,0.9536357980092985,0.9454551110816106,11000.0
24,0.9473333333333334,0.9513298055079741,0.9433368611586926,12000.0
25,0.9485384615384616,0.9523363767975378,0.9447405462793853,13000.0
26,0.9466428571428571,0.9503656891352572,0.942920025150457,14000.0
27,0.9479333333333333,0.9514885923496077,0.9443780743170589,15000.0
28,0.9485,0.9519246041751982,0.9450753958248018,16000.0
29,0.9524705882352941,0.9556689724761882,0.9492722039943999,17000.0
30,0.9506666666666667,0.9538303732777262,0.9475029600556071,18000.0
31,0.9495263157894737,0.9526391593583269,0.9464134722206204,19000.0
32,0.94945,0.9524861954322632,0.9464138045677368,20000.0
