,p_hat,CI_upper,CI_lower,num_exp
0,0.95,0.9927164247079471,0.9072835752920528,100.0
1,0.936,0.9663393308558288,0.9056606691441713,250.0
2,0.938,0.9591378276639908,0.9168621723360091,500.0
3,0.948,0.96388997814242,0.93211002185758,750.0
4,0.954,0.9669837813786023,0.9410162186213976,1000.0
5,0.9426666666666667,0.954431482491284,0.9309018508420493,1500.0
6,0.9505,0.9600063052009956,0.9409936947990044,2000.0
7,0.9512,0.9596454718460468,0.9427545281539533,2500.0
8,0.9453333333333334,0.953468027808099,0.9371986388585677,3000.0
9,0.9485714285714286,0.9558887362877727,0.9412541208550845,3500.0
10,0.94875,0.9555834642180384,0.9419165357819616,4000.0
11,0.9468888888888889,0.9534410420066487,0.9403367357711291,4500.0
12,0.9408,0.94734142846699,0.93425857153301,5000.0
13,0.9489090909090909,0.954728124512774,0.9430900573054078,5500.0
14,0.9466666666666667,0.9523521890344776,0.9409811442988557,6000.0
15,0.9489230769230769,0.9542751160583787,0.9435710377877751,6500.0
16,0.9491428571428572,0.9542896992090031,0.9439960150767113,7000.0
17,0.9490666666666666,0.9540425119624248,0.9440908213709084,7500.0
18,0.951875,0.9565650603286949,0.9471849396713051,8000.0
19,0.9509411764705883,0.9555328819025595,0.9463494710386171,8500.0
20,0.9478888888888889,0.9524805594293175,0.9432972183484603,9000.0
21,0.9498947368421052,0.9542817173298197,0.9455077563543908,9500.0
22,0.9489,0.9532158740719614,0.9445841259280385,10000.0
23,0.949,0.9531112126662975,0.9448887873337024,11000.0
24,0.9501666666666667,0.954059961848265,0.9462733714850684,12000.0
25,0.9484615384615385,0.9522621370455193,0.9446609398775576,13000.0
26,0.9498571428571428,0.953472221570317,0.9462420641439687,14000.0
27,0.947,0.9505852164943414,0.9434147835056585,15000.0
28,0.9469375,0.9504108025186356,0.9434641974813643,16000.0
29,0.9511176470588235,0.9543589289389119,0.9478763651787351,17000.0
30,0.95,0.953183894313424,0.9468161056865759,18000.0
31,0.9494210526315789,0.9525369677090499,0.946305137554108,19000.0
32,0.94805,0.9511256824207492,0.9449743175792507,20000.0
