,p_hat,CI_upper,CI_lower,num_exp
0,0.95,0.9927164247079471,0.9072835752920528,100.0
1,0.976,0.9949718034373055,0.9570281965626944,250.0
2,0.946,0.9658109607236165,0.9261890392763834,500.0
3,0.9493333333333334,0.9650292972289917,0.9336373694376751,750.0
4,0.95,0.9635081195576205,0.9364918804423794,1000.0
5,0.9473333333333334,0.9586370636353807,0.936029603031286,1500.0
6,0.9505,0.9600063052009956,0.9409936947990044,2000.0
7,0.9564,0.9644046272873252,0.9483953727126748,2500.0
8,0.9456666666666667,0.953777952000973,0.9375553813323603,3000.0
9,0.9497142857142857,0.9569541906878383,0.9424743807407332,3500.0
10,0.95225,0.9588581558033574,0.9456418441966427,4000.0
11,0.9455555555555556,0.9521847711719293,0.9389263399391818,4500.0
12,0.946,0.9522647758522765,0.9397352241477234,5000.0
13,0.9545454545454546,0.960050408780045,0.9490405003108642,5500.0
14,0.9508333333333333,0.9563042493472459,0.9453624173194207,6000.0
15,0.9495384615384616,0.954859886428308,0.9442170366486151,6500.0
16,0.9464285714285714,0.9517034152582583,0.9411537275988845,7000.0
17,0.9541333333333334,0.9588677947666988,0.949398871899968,7500.0
18,0.954125,0.9587095189672472,0.9495404810327528,8000.0
19,0.95,0.9546332467841355,0.9453667532158644,8500.0
20,0.9482222222222222,0.9527999883828099,0.9436444560616345,9000.0
21,0.9501052631578948,0.9544835026952404,0.9457270236205492,9500.0
22,0.9466,0.9510065831514942,0.9421934168485058,10000.0
