,p_hat,CI_upper,CI_lower,num_exp
0,0.96,0.9984072934108424,0.9215927065891575,100.0
1,0.952,0.9784982491701197,0.9255017508298802,250.0
2,0.938,0.9591378276639908,0.9168621723360091,500.0
3,0.9133333333333333,0.9334686359002458,0.8931980307664209,750.0
4,0.925,0.9413248646452477,0.9086751353547524,1000.0
5,0.9286666666666666,0.941691694184184,0.9156416391491493,1500.0
6,0.931,0.942107913241977,0.9198920867580231,2000.0
7,0.94,0.949309313132281,0.9306906868677189,2500.0
8,0.938,0.946629482007944,0.929370517992056,3000.0
9,0.9402857142857143,0.9481359574374568,0.9324354711339717,3500.0
10,0.93775,0.945237404733398,0.9302625952666019,4000.0
11,0.9337777777777778,0.9410432772645431,0.9265122782910126,4500.0
12,0.9328,0.9397397207342918,0.9258602792657081,5000.0
13,0.9356363636363636,0.9421218205544934,0.9291509067182337,5500.0
14,0.9323333333333333,0.9386887709953043,0.9259778956713623,6000.0
15,0.9324615384615385,0.93856227763923,0.926360799283847,6500.0
16,0.9322857142857143,0.9381716259044255,0.9263998026670031,7000.0
17,0.9334666666666667,0.9391067628147594,0.927826570518574,7500.0
18,0.934125,0.9395608305395545,0.9286891694604454,8000.0
19,0.9327058823529412,0.9380318624305776,0.9273799022753048,8500.0
20,0.9342222222222222,0.9393436556491443,0.9291007887953,9000.0
21,0.9352631578947368,0.940211149533146,0.9303151662563276,9500.0
22,0.9426,0.947158980713315,0.938041019286685,10000.0
