,p_hat,CI_upper,CI_lower,num_exp
0,0.92,0.9731724899927667,0.8668275100072333,100.0
1,0.936,0.9663393308558288,0.9056606691441713,250.0
2,0.958,0.9755820895862493,0.9404179104137507,500.0
3,0.9493333333333334,0.9650292972289917,0.9336373694376751,750.0
4,0.945,0.9591301034039237,0.9308698965960762,1000.0
5,0.946,0.957437863506685,0.9345621364933149,1500.0
6,0.9425,0.9527025256423102,0.9322974743576898,2000.0
7,0.9388,0.948195942236968,0.9294040577630319,2500.0
8,0.9426666666666667,0.9509856477156644,0.9343476856176689,3000.0
9,0.9348571428571428,0.9430327515262092,0.9266815341880764,3500.0
10,0.94625,0.9532389233253082,0.9392610766746918,4000.0
11,0.9362222222222222,0.9433616926373704,0.929082751807074,4500.0
12,0.9422,0.9486684251645914,0.9357315748354087,5000.0
13,0.9381818181818182,0.9445463779046875,0.9318172584589489,5500.0
14,0.9343333333333333,0.9406008554198342,0.9280658112468325,6000.0
15,0.946923076923077,0.952373141299649,0.941473012546505,6500.0
16,0.938,0.9436493220728089,0.932350677927191,7000.0
17,0.9361333333333334,0.9416671330802227,0.9305995335864441,7500.0
18,0.938,0.9432844569159976,0.9327155430840023,8000.0
19,0.9370588235294117,0.9422216732460967,0.9318959738127267,8500.0
20,0.9376666666666666,0.9426613878614568,0.9326719454718765,9000.0
21,0.9416842105263158,0.9463965005562915,0.93697192049634,9500.0
22,0.9386,0.9433051400138036,0.9338948599861964,10000.0
23,0.9401818181818182,0.9446135582165046,0.9357500781471318,11000.0
24,0.93825,0.942556606935893,0.933943393064107,12000.0
25,0.9367692307692308,0.9409528962927429,0.9325855652457187,13000.0
26,0.9371428571428572,0.9411632111044819,0.9331225031812325,14000.0
27,0.9367333333333333,0.940629144746261,0.9328375219204056,15000.0
28,0.9353125,0.9391238308704797,0.9315011691295203,16000.0
29,0.937235294117647,0.9408812020434666,0.9335893861918275,17000.0
30,0.9378888888888889,0.9414148066870007,0.934362971090777,18000.0
31,0.9353157894736842,0.9388132237699742,0.9318183551773942,19000.0
32,0.93575,0.9391482050197612,0.9323517949802388,20000.0
