,p_hat,CI_upper,CI_lower,num_exp
0,0.96,0.9984072934108424,0.9215927065891575,100.0
1,0.948,0.9755222494738303,0.9204777505261696,250.0
2,0.93,0.9523642111073558,0.9076357888926443,500.0
3,0.9466666666666667,0.9627477523501342,0.9305855809831991,750.0
4,0.95,0.9635081195576205,0.9364918804423794,1000.0
5,0.948,0.9592359112974111,0.9367640887025888,1500.0
6,0.952,0.9613685458388812,0.9426314541611187,2000.0
7,0.9444,0.9533824223523647,0.9354175776476353,2500.0
8,0.953,0.9605732595808698,0.9454267404191301,3000.0
9,0.946,0.9534878393297082,0.9385121606702918,3500.0
10,0.95125,0.9579234857932396,0.9445765142067605,4000.0
11,0.9475555555555556,0.954068748141657,0.9410423629694542,4500.0
12,0.9492,0.9552865866592077,0.9431134133407924,5000.0
13,0.9401818181818182,0.9464492450437836,0.9339143913198529,5500.0
14,0.9391666666666667,0.9452147060130066,0.9331186273203268,6000.0
15,0.9544615384615385,0.9595298092005535,0.9493932677225234,6500.0
16,0.9474285714285714,0.9526567113133984,0.9422004315437444,7000.0
17,0.9386666666666666,0.944096936885971,0.9332363964473623,7500.0
18,0.9435,0.9485593913473962,0.9384406086526038,8000.0
19,0.9414117647058824,0.946404443740225,0.9364190856715398,8500.0
20,0.9442222222222222,0.9489634907060489,0.9394809537383955,9000.0
21,0.9453684210526315,0.9499383422388646,0.9407984998663984,9500.0
22,0.9465,0.9509104742533837,0.9420895257466163,10000.0
